Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
336,Washington State,32,11,21,0.344,-1.68,2.2,4,14,9,7,2,8,2393,2517,1280,833,1861,0.448,301,828,0.364,426,564,0.755,276,1076,476,165,93,440,554,71.7,104.4,0.303,0.445,0.562,48.3,57.1,7.2,8.1,0.528,17.1,25.2,0.229
337,Washington NCAA,34,26,8,0.765,11.85,6.41,15,3,15,1,7,4,2374,2189,1365,835,1845,0.453,254,734,0.346,450,648,0.694,322,1076,397,305,193,452,625,67.1,103.6,0.351,0.398,0.551,48.1,47.5,13.3,16.2,0.521,17.4,29.5,0.244
338,Weber State,33,18,15,0.545,-4.29,-6.03,11,9,10,5,5,7,2617,2454,1330,920,1934,0.476,249,684,0.364,528,708,0.746,220,1177,382,180,140,382,608,73.4,107.2,0.366,0.354,0.576,49,41.5,7.4,10,0.54,14.4,19.8,0.273
339,West Virginia,34,14,20,0.412,7.2,10.94,4,14,10,6,0,10,2487,2614,1380,841,2034,0.413,253,798,0.317,552,808,0.683,489,1338,454,210,118,535,684,71.4,101,0.397,0.392,0.514,53.1,54,8.5,9.3,0.476,18.1,36.7,0.271
340,Western Carolina,32,7,25,0.219,-8.92,0.69,4,14,4,8,3,14,2304,2563,1295,792,1744,0.454,296,800,0.37,424,628,0.675,303,1135,389,135,53,577,671,71.3,99.8,0.36,0.459,0.564,52.4,49.1,5.8,4.6,0.539,22,28.7,0.243
341,Western Illinois,31,10,21,0.323,-9.87,-5.01,4,12,7,6,2,14,2198,2272,1245,818,1859,0.44,241,626,0.385,321,440,0.73,254,1100,319,165,132,353,488,69.5,101.6,0.237,0.337,0.531,48.9,39,7.6,11.4,0.505,14.6,22.7,0.173
342,Western Kentucky,34,20,14,0.588,3.45,1.27,11,7,10,4,6,8,2429,2355,1380,853,1910,0.447,199,608,0.327,524,724,0.724,338,1256,417,235,174,466,527,69,102.1,0.379,0.318,0.539,51.6,48.9,9.9,14.4,0.499,17.1,29,0.274
343,Western Michigan,32,8,24,0.25,-5.89,1.85,2,16,5,9,2,14,2246,2439,1300,774,1822,0.425,228,723,0.315,470,681,0.69,345,1197,373,147,78,490,564,70.2,98.5,0.374,0.397,0.523,51.5,48.2,6.4,6.5,0.487,18.6,30,0.258
344,Wichita State,33,19,14,0.576,6.8,5.28,10,8,10,4,4,7,2333,2283,1325,828,2037,0.406,247,797,0.31,430,592,0.726,411,1247,452,158,111,391,638,69.1,101.9,0.291,0.391,0.503,51.7,54.6,6.9,9.6,0.467,14.4,32.6,0.211
345,William & Mary,31,14,17,0.452,-4.48,-1.78,10,8,9,5,5,11,2321,2385,1265,841,1773,0.474,254,735,0.346,385,576,0.668,251,1057,529,158,146,390,516,69.2,106.1,0.325,0.415,0.567,49.9,62.9,7.2,12.4,0.546,16,24.2,0.217
346,Winthrop,30,18,12,0.6,-2.94,-3.79,10,6,11,3,7,8,2499,2358,1210,855,1878,0.455,372,997,0.373,417,565,0.738,330,1232,460,134,83,456,534,75.1,110,0.301,0.531,0.582,53.4,53.8,5.9,7.2,0.554,17.5,29.8,0.222
347,Wisconsin NCAA,33,23,10,0.697,19.05,11.41,14,6,12,3,8,5,2279,2027,1345,854,1885,0.453,235,642,0.366,336,518,0.649,269,1162,421,169,139,314,496,64.9,104.5,0.275,0.341,0.535,49.8,49.3,7.7,11.3,0.515,12.8,24,0.178
348,Wofford NCAA,33,29,4,0.879,13.8,0.14,18,0,15,1,11,3,2739,2165,1330,997,2022,0.493,364,874,0.416,381,545,0.699,350,1176,507,227,99,359,557,68.7,119.9,0.27,0.432,0.6,55,50.9,9.9,9.2,0.583,13.6,33.1,0.188
349,Wright State,35,21,14,0.6,3.34,-0.85,13,5,15,2,5,7,2561,2365,1405,885,2029,0.436,281,818,0.344,510,692,0.737,382,1230,483,214,72,402,545,67.5,108.1,0.341,0.403,0.543,52.3,54.6,9,6.1,0.505,14.6,31.3,0.251
350,Wyoming,32,8,24,0.25,-9.44,0.5,4,14,6,10,1,11,2105,2411,1285,690,1656,0.417,248,720,0.344,477,660,0.723,167,983,331,176,88,450,588,70.2,93.3,0.399,0.435,0.534,44.7,48,7.8,7.9,0.492,18.6,15.6,0.288
351,Xavier,33,18,15,0.545,9.67,8.39,9,9,12,5,4,7,2372,2330,1335,862,1843,0.468,231,694,0.333,417,608,0.686,343,1192,488,179,125,430,518,66.5,106.9,0.33,0.377,0.556,53.2,56.6,8.1,11.1,0.53,16.8,32,0.226
352,Yale NCAA,29,22,7,0.759,5.46,-1.72,10,4,11,2,8,5,2353,2123,1175,866,1740,0.498,222,597,0.372,399,542,0.736,249,1119,495,172,126,383,494,72.7,110.2,0.311,0.343,0.589,53.2,57.2,8.1,11.2,0.561,16.1,26,0.229
353,Youngstown State,32,12,20,0.375,-7.68,-1.95,8,10,6,7,5,11,2415,2526,1305,879,2059,0.427,303,893,0.339,354,505,0.701,418,1209,449,210,115,423,656,70.6,104.8,0.245,0.434,0.525,51.5,51.1,9.1,9.9,0.5,15.5,33.7,0.172
