"","School","G","W-L%","SRS","SOS","FG%","3P%","FT%","ORB","TRB","AST","STL","BLK","TOV","PF","Pace","ORtg","FT/FGA","DRtg"
"178","Michigan State",34,0.824,25.57,12.27,0.486,0.384,0.75,366,1390,645,178,186,437,575,68.5,114.3,0.262,97.4202011368605
"179","Michigan",34,0.824,22.66,10.83,0.45,0.35,0.698,277,1191,475,209,143,298,477,65.4,107.6,0.189,91.48134534093
"180","Middle Tennessee",32,0.344,-5.75,1.79,0.419,0.326,0.677,382,1228,353,190,85,512,582,70.3,95.2,0.201,104.736460786089
"181","Milwaukee",31,0.29,-8.8,-2.4,0.42,0.342,0.746,288,1095,355,145,94,382,579,68.9,100,0.208,109.342527866994
"182","Minnesota",34,0.618,12.77,11.16,0.437,0.321,0.679,388,1260,504,163,136,407,550,68,103.7,0.286,103.877749315432
"183","Mississippi State",33,0.697,16.76,9.54,0.472,0.378,0.715,385,1183,468,267,164,439,564,68.5,112,0.231,103.645973304667
"184","Mississippi Valley State",32,0.188,-22.47,-6.98,0.38,0.31,0.658,378,1165,361,176,70,415,570,70.6,90.7,0.222,112.58337840274
"185","Ole Miss",32,0.625,13.26,8.23,0.459,0.358,0.783,315,1098,459,234,116,405,579,69.2,108.5,0.248,103.874538745387
"186","Missouri-Kansas City",32,0.344,-6.26,-1.2,0.431,0.356,0.7,261,966,352,232,90,391,647,68.6,100.3,0.23,108.37962962963
"187","Missouri State",32,0.5,-1.01,-0.85,0.452,0.345,0.692,270,1000,354,221,127,385,540,66.5,103.2,0.253,103.711895374555
"188","Missouri",32,0.469,8.91,9.47,0.43,0.363,0.703,345,1130,354,149,53,448,625,66.1,100.9,0.21,104.361220756715
"189","Monmouth",35,0.4,-10.54,-4.72,0.415,0.297,0.687,360,1224,379,237,101,502,697,68.4,94.1,0.277,105.2498097895
"190","Montana State",32,0.469,-7.83,-5.74,0.456,0.374,0.737,292,1083,491,169,46,394,567,71.6,109.2,0.255,113.705221885582
"191","Montana",34,0.765,1.51,-5.84,0.497,0.382,0.69,286,1142,498,222,101,406,637,68.5,111.6,0.22,101.71643751642
"192","Morehead State",33,0.394,-7.72,-1.75,0.429,0.341,0.705,357,1177,440,186,137,402,561,70.6,103.2,0.231,110.584449469473
"193","Morgan State",30,0.3,-15.85,-10.49,0.394,0.322,0.713,397,1078,358,230,48,401,614,73.8,96.6,0.249,105.176663927691
"194","Mount St. Mary's",31,0.29,-14.22,-5.66,0.418,0.308,0.678,293,1036,354,146,107,410,576,69.5,97.1,0.23,108.361774744027
"195","Murray State",31,0.871,8.83,-4.38,0.496,0.348,0.738,333,1172,561,235,142,376,505,71.7,116.1,0.246,96.1732124874119
